student_id,first_name,last_name,gender,dob,grade_level,enrollment_date,parent_education_level,family_income,transport_mode
S1000,Christopher,Bennett,Male,2017-01-28,1,2021-11-23,Bachelor,306787,Walk
S1001,Katherine,Stanley,Male,2013-09-29,12,2025-03-04,None,759570,Bus
S1002,Peter,Hampton,Female,2014-08-23,1,2024-06-04,None,148246,Walk
S1003,Jodi,Hendricks,Male,2009-01-01,9,2023-07-22,PhD,77824,Walk
S1004,Jacob,Hunt,Female,2009-03-27,4,2024-02-20,Master,667889,Car
S1005,Hannah,Melendez,Male,2009-04-12,3,2022-02-07,Master,406778,Car
S1006,Kristen,Rhodes,Male,2014-08-21,4,2023-02-15,Bachelor,157175,Bus
S1007,Michael,Henderson,Female,2010-06-28,2,2022-09-02,Bachelor,938662,Car
S1008,Michael,Wright,Female,2010-02-19,1,2023-04-14,Master,612275,Bus
S1009,Eugene,Villanueva,Female,2019-02-15,2,2021-07-24,PhD,357419,Car
S1010,Brian,Osborn,Male,2013-03-28,12,2021-06-19,None,98050,Walk
S1011,Amanda,Cooley,Female,2007-11-14,2,2024-01-03,High School,958573,Bus
S1012,Raymond,Carpenter,Female,2013-01-28,5,2021-01-04,Master,716563,Car
S1013,William,Stein,Male,2014-11-21,6,2025-07-25,Bachelor,269684,Car
S1014,Alan,Baker,Male,2018-02-21,10,2021-07-19,High School,610086,Walk
S1015,Kristine,Williams,Male,2016-09-07,8,2023-09-08,Master,333060,Walk
S1016,Troy,Tyler,Female,2018-03-18,1,2022-01-25,High School,911722,Bus
S1017,Maurice,Miller,Female,2011-05-25,7,2022-12-29,Bachelor,119403,Walk
S1018,Robert,Cole,Female,2019-08-05,4,2022-03-10,Master,464850,Bicycle
S1019,Joel,Martinez,Male,2007-04-17,5,2024-06-17,High School,308607,Car
S1020,Shannon,Thomas,Female,2012-09-10,10,2021-01-31,Master,429580,Walk
S1021,Julie,Mathews,Male,2007-07-14,9,2020-10-10,Master,145325,Bus
S1022,Richard,Brown,Male,2008-06-10,3,2022-10-09,High School,880555,Bicycle
S1023,Steven,Jones,Male,2010-01-26,7,2021-03-08,Master,674834,Bicycle
S1024,Paul,Mcbride,Female,2008-03-11,9,2022-04-25,None,763328,Bus
S1025,Robert,Nguyen,Female,2015-06-27,11,2021-09-30,Bachelor,166970,Car
S1026,William,Rios,Female,2016-09-23,3,2021-12-12,Master,53402,Car
S1027,Frank,Hunter,Male,2015-04-10,9,2024-04-23,None,962804,Car
S1028,Katherine,Moody,Male,2014-10-06,3,2025-07-27,Bachelor,849550,Walk
S1029,Jonathan,Nash,Male,2017-03-22,10,2020-12-27,Bachelor,562340,Bus
S1030,Joseph,Peck,Male,2012-09-19,6,2023-10-16,Bachelor,301083,Bus
S1031,Marie,Johnson,Male,2010-08-19,10,2020-10-25,None,139814,Bicycle
S1032,Maria,Gonzalez,Male,2013-09-20,9,2022-03-12,High School,184628,Bicycle
S1033,Jason,Miller,Male,2009-08-21,5,2024-08-30,PhD,964812,Bicycle
S1034,Emily,Bailey,Male,2009-07-22,9,2023-10-13,High School,797581,Car
S1035,Tiffany,Paul,Female,2013-10-05,11,2023-11-20,Bachelor,509381,Bicycle
S1036,Robert,Cross,Male,2010-06-19,4,2021-10-03,High School,117136,Car
S1037,Sandra,Krause,Male,2019-01-05,10,2023-06-19,PhD,291292,Walk
S1038,James,Bryant,Male,2014-01-13,2,2021-03-23,None,290062,Bus
S1039,Ebony,Sanchez,Male,2011-11-26,6,2020-10-26,None,589131,Walk
S1040,Melanie,Reyes,Female,2014-01-03,11,2021-04-22,Master,274643,Walk
S1041,Ann,Rodriguez,Female,2019-02-18,4,2022-12-30,Master,896721,Bicycle
S1042,Nichole,Hampton,Male,2010-03-01,2,2024-01-26,None,740993,Bicycle
S1043,Timothy,Lee,Female,2007-10-13,7,2023-04-01,Master,539710,Bus
S1044,Michael,Crane,Male,2016-06-25,1,2024-05-07,Master,813587,Car
S1045,Nicole,Gonzalez,Male,2008-03-21,4,2022-05-19,High School,249448,Bicycle
S1046,Kimberly,Nguyen,Male,2017-09-24,7,2024-12-07,High School,342075,Bicycle
S1047,Manuel,Brown,Male,2013-09-08,2,2021-11-19,Master,897272,Bus
S1048,Jennifer,Thompson,Male,2008-05-13,11,2024-07-11,PhD,926638,Bus
S1049,Carl,Diaz,Male,2019-04-27,4,2023-06-24,High School,476156,Bicycle
S1050,Roger,Lyons,Female,2009-05-05,4,2021-01-12,Master,996279,Bus
S1051,Taylor,Johnson,Male,2016-06-12,7,2025-03-11,None,459386,Car
S1052,Robert,Carter,Female,2015-11-24,5,2024-09-10,Master,780429,Bicycle
S1053,Michael,Jordan,Male,2018-06-29,4,2020-11-11,Bachelor,278275,Bus
S1054,Michael,Larsen,Male,2009-02-22,12,2025-04-10,Bachelor,109942,Bus
S1055,Douglas,Young,Female,2007-04-18,9,2023-03-09,PhD,215080,Bus
S1056,Sarah,Johnson,Male,2012-06-08,3,2020-12-28,None,673939,Bus
S1057,Christopher,Shepard,Male,2010-08-27,7,2023-08-10,None,983533,Walk
S1058,Carol,Paul,Male,2006-09-06,10,2024-10-24,None,489589,Car
S1059,Patty,Anderson,Female,2016-04-17,4,2024-05-23,Bachelor,300280,Car
S1060,Kimberly,Lopez,Female,2007-03-27,3,2020-09-06,Bachelor,529434,Car
S1061,Catherine,Brady,Male,2018-04-25,1,2023-02-01,Master,701332,Bus
S1062,Michael,Young,Male,2014-09-01,9,2024-07-21,High School,580458,Car
S1063,Diane,Price,Male,2013-08-08,6,2021-07-19,None,971981,Walk
S1064,William,Baker,Female,2016-09-23,5,2020-10-12,High School,509469,Car
S1065,Ronald,Lane,Male,2012-09-22,11,2023-09-12,PhD,363921,Bus
S1066,Linda,Mccullough,Male,2016-04-04,5,2024-10-21,None,982931,Bus
S1067,Chase,Obrien,Male,2016-11-14,5,2021-12-13,Bachelor,684210,Walk
S1068,Mary,Harvey,Female,2017-05-10,4,2022-08-14,Bachelor,579959,Bicycle
S1069,Joseph,Brewer,Female,2011-11-09,1,2023-11-12,None,715095,Bicycle
S1070,Kelly,Torres,Female,2010-03-15,1,2025-07-11,None,399759,Walk
S1071,Holly,Fletcher,Female,2018-04-23,3,2021-12-17,Master,628478,Bicycle
S1072,Laura,Kennedy,Male,2008-12-04,2,2024-11-12,None,976004,Walk
S1073,Gloria,Chavez,Male,2012-11-05,6,2024-09-29,PhD,629364,Walk
S1074,David,Sanchez,Female,2011-03-12,3,2023-09-19,None,373232,Car
S1075,Brittney,Stewart,Male,2014-12-02,6,2021-04-19,High School,765198,Walk
